scheme,age,snr_mean,snr_stderr
exp/tau=300,2687,-1.801234e-1,4.291649e-1
exp/tau=300,3346,-2.805312e-1,3.262624e-1
exp/tau=300,4167,3.105603e-1,3.526055e-1
exp/tau=300,5189,1.603975e-1,2.019533e-1
exp/tau=300,6461,5.746310e-1,3.588329e-1
exp/tau=300,8046,1.727741e-1,4.384552e-1
exp/tau=300,10019,1.038580e-1,3.656618e-1
exp/tau=300,12476,-1.406226e-1,5.025593e-1
exp/tau=300,15536,7.661325e-2,3.304675e-1
exp/tau=300,19347,-3.576547e-1,5.050946e-1
exp/tau=300,24091,5.339404e-1,3.011425e-1
exp/tau=300,30000,4.006605e-1,3.428608e-1
exp/tau=1000,1,5.899027e0,1.456420e-1
exp/tau=1000,2,5.891605e0,1.443104e-1
exp/tau=1000,3,5.787381e0,1.357874e-1
exp/tau=1000,4,5.704815e0,1.293511e-1
exp/tau=1000,5,5.616399e0,1.361998e-1
exp/tau=1000,6,5.631636e0,1.274279e-1
exp/tau=1000,7,5.551165e0,1.499410e-1
exp/tau=1000,9,5.433417e0,1.396373e-1
exp/tau=1000,11,5.182416e0,1.137079e-1
exp/tau=1000,14,5.082931e0,1.232568e-1
exp/tau=1000,17,4.992547e0,1.467349e-1
exp/tau=1000,22,4.879781e0,1.801630e-1
exp/tau=1000,27,4.462650e0,1.975553e-1
exp/tau=1000,33,3.958310e0,2.013926e-1
exp/tau=1000,42,3.667125e0,2.420019e-1
exp/tau=1000,52,2.951324e0,1.756916e-1
exp/tau=1000,65,2.523130e0,2.371715e-1
exp/tau=1000,80,2.115692e0,3.502853e-1
exp/tau=1000,100,1.473943e0,4.093335e-1
exp/tau=1000,125,1.439342e0,4.750588e-1
exp/tau=1000,155,9.195144e-1,4.190198e-1
exp/tau=1000,193,2.588388e-1,3.765132e-1
exp/tau=1000,241,3.297394e-1,4.027681e-1
exp/tau=1000,300,5.815121e-1,4.115907e-1
exp/tau=1000,373,2.349098e-1,2.916997e-1
exp/tau=1000,465,-1.205062e-1,3.501803e-1
exp/tau=1000,579,2.262355e-1,3.749046e-1
exp/tau=1000,721,5.890755e-3,2.461565e-1
exp/tau=1000,897,3.214760e-1,2.804013e-1
exp/tau=1000,1118,3.466719e-1,4.146359e-1
exp/tau=1000,1392,2.756084e-1,2.804212e-1
exp/tau=1000,1733,1.806376e-2,3.861233e-1
exp/tau=1000,2158,-3.227511e-1,2.934827e-1
exp/tau=1000,2687,-1.381684e-1,4.180518e-1
exp/tau=1000,3346,-3.442892e-1,3.318572e-1
exp/tau=1000,4167,3.397533e-1,3.352679e-1
exp/tau=1000,5189,1.539475e-1,1.810184e-1
exp/tau=1000,6461,5.208117e-1,3.745160e-1
exp/tau=1000,8046,2.188884e-1,4.279983e-1
exp/tau=1000,10019,5.022280e-2,3.486376e-1
exp/tau=1000,12476,-1.749300e-1,4.815601e-1
exp/tau=1000,15536,6.303610e-2,3.252692e-1
exp/tau=1000,19347,-3.565426e-1,5.019593e-1
exp/tau=1000,24091,5.820731e-1,3.035178e-1
exp/tau=1000,30000,3.781474e-1,3.259110e-1
exp/tau=3000,1,5.804049e0,1.458048e-1
exp/tau=3000,2,5.797384e0,1.440070e-1
exp/tau=3000,3,5.696488e0,1.356920e-1
exp/tau=3000,4,5.614387e0,1.297898e-1
