scheme,age,snr_mean,snr_stderr
plain,18514,-2.665253e-2,6.258246e-2
plain,19163,-5.332549e-2,5.791632e-2
plain,19835,-3.401322e-2,6.398379e-2
plain,20531,-7.363066e-2,6.066878e-2
plain,21251,2.670136e-3,6.363830e-2
plain,21997,-4.753402e-3,6.779399e-2
plain,22768,3.323721e-2,6.360713e-2
plain,23567,-1.781014e-1,6.083465e-2
plain,24394,4.657439e-2,6.567177e-2
plain,25250,4.515750e-3,6.365085e-2
plain,26135,3.682736e-2,6.338088e-2
plain,27052,9.401128e-2,6.697701e-2
plain,28001,3.249459e-2,5.749505e-2
plain,28983,4.695093e-2,6.311976e-2
plain,30000,5.471482e-2,5.965813e-2
exp/tau=30,1,7.301216e0,3.399639e-2
exp/tau=30,2,7.211226e0,3.403488e-2
exp/tau=30,3,7.089890e0,3.509736e-2
exp/tau=30,4,6.935637e0,3.426630e-2
exp/tau=30,5,6.824215e0,3.596012e-2
exp/tau=30,6,6.690044e0,3.741799e-2
exp/tau=30,7,6.547304e0,3.724160e-2
exp/tau=30,8,6.452842e0,3.840980e-2
exp/tau=30,9,6.349140e0,3.830463e-2
exp/tau=30,10,6.216789e0,4.010882e-2
exp/tau=30,11,6.084008e0,4.165571e-2
exp/tau=30,12,5.960500e0,4.289953e-2
exp/tau=30,13,5.790767e0,4.541057e-2
exp/tau=30,14,5.663098e0,4.809955e-2
exp/tau=30,15,5.522823e0,4.830353e-2
exp/tau=30,16,5.402726e0,5.092497e-2
exp/tau=30,17,5.253866e0,5.278823e-2
exp/tau=30,18,5.123297e0,5.304033e-2
exp/tau=30,19,4.969511e0,5.371431e-2
exp/tau=30,20,4.855495e0,5.658405e-2
exp/tau=30,21,4.747297e0,5.615009e-2
exp/tau=30,22,4.601406e0,5.710935e-2
exp/tau=30,23,4.437132e0,5.833824e-2
exp/tau=30,24,4.282955e0,5.826705e-2
exp/tau=30,25,4.093621e0,6.024437e-2
exp/tau=30,26,3.983389e0,6.117867e-2
exp/tau=30,27,3.874552e0,6.149211e-2
exp/tau=30,28,3.759793e0,6.186366e-2
exp/tau=30,29,3.628996e0,6.160865e-2
exp/tau=30,30,3.534261e0,5.958594e-2
exp/tau=30,31,3.434023e0,5.969696e-2
exp/tau=30,33,3.214833e0,5.942415e-2
exp/tau=30,34,3.103215e0,5.959041e-2
exp/tau=30,35,2.987091e0,6.014783e-2
exp/tau=30,36,2.863524e0,6.090842e-2
exp/tau=30,37,2.737599e0,6.166423e-2
exp/tau=30,39,2.498974e0,6.305421e-2
exp/tau=30,40,2.359850e0,6.410045e-2
exp/tau=30,41,2.284117e0,6.284924e-2
exp/tau=30,43,2.066060e0,6.270727e-2
exp/tau=30,44,1.931192e0,6.382915e-2
exp/tau=30,46,1.754363e0,6.590201e-2
exp/tau=30,48,1.632948e0,6.456548e-2
exp/tau=30,49,1.558809e0,6.328929e-2
exp/tau=30,51,1.378082e0,6.330557e-2
exp/tau=30,53,1.257070e0,6.234597e-2
exp/tau=30,55,1.142095e0,6.128477e-2
exp/tau=30,56,1.085139e0,6.365802e-2
exp/tau=30,58,1.005397e0,6.086562e-2
exp/tau=30,61,9.089853e-1,5.948547e-2
exp/tau=30,63,8.390613e-1,6.123860e-2
exp/tau=30,65,7.630819e-1,6.314790e-2
exp/tau=30,67,6.697453e-1,6.294849e-2
exp/tau=30,69,5.659028e-1,6.394687e-2
exp/tau=30,72,5.248353e-1,6.513449e-2
exp/tau=30,74,4.776078e-1,6.507521e-2
exp/tau=30,77,4.255696e-1,6.946036e-2
exp/tau=30,80,4.061058e-1,6.851291e-2
exp/tau=30,83,4.098098e-1,6.780170e-2
exp/tau=30,85,4.331943e-1,6.970609e-2
exp/tau=30,88,4.060738e-1,6.682473e-2
exp/tau=30,92,2.558440e-1,6.676630e-2
exp/tau=30,95,2.156632e-1,6.381604e-2
exp/tau=30,98,1.717917e-1,6.458578e-2
exp/tau=30,102,1.685901e-1,6.298576e-2
exp/tau=30,105,1.314714e-1,6.420741e-2
exp/tau=30,109,1.375571e-1,6.345372e-2
exp/tau=30,113,8.288596e-2,6.350281e-2
exp/tau=30,117,1.014947e-1,6.724138e-2
exp/tau=30,121,1.113978e-1,6.656871e-2
exp/tau=30,125,3.992433e-2,6.823995e-2
exp/tau=30,129,3.940035e-2,6.762623e-2
exp/tau=30,134,2.123176e-2,6.553705e-2
exp/tau=30,138,1.749103e-2,6.644891e-2
exp/tau=30,143,1.986258e-2,6.927870e-2
exp/tau=30,148,3.969454e-3,6.897177e-2
exp/tau=30,154,-5.894090e-2,6.305615e-2
exp/tau=30,159,-1.336206e-1,6.603263e-2
exp/tau=30,164,-9.567651e-2,6.814084e-2
exp/tau=30,170,-5.910063e-2,6.886703e-2
exp/tau=30,176,-1.912608e-3,6.715308e-2
exp/tau=30,182,4.496813e-2,5.786202e-2
exp/tau=30,189,-5.584055e-2,5.913288e-2
exp/tau=30,195,-1.333995e-1,6.052930e-2
exp/tau=30,202,-3.660951e-2,6.005887e-2
exp/tau=30,209,-1.783751e-2,5.633421e-2
exp/tau=30,217,-4.707199e-2,6.123291e-2
exp/tau=30,224,-8.906301e-2,5.684201e-2
exp/tau=30,232,-1.390078e-2,5.922166e-2
exp/tau=30,240,3.384238e-2,6.306954e-2
exp/tau=30,249,1.013820e-1,6.483074e-2
exp/tau=30,257,1.053435e-1,6.442845e-2
exp/tau=30,267,1.240397e-1,6.392139e-2
exp/tau=30,276,6.523400e-2,6.502731e-2
exp/tau=30,286,1.101998e-2,6.552149e-2
exp/tau=30,296,3.268616e-3,6.050166e-2
exp/tau=30,306,-7.713417e-2,6.173386e-2
exp/tau=30,317,-3.655697e-2,6.429584e-2
exp/tau=30,328,-6.739657e-2,6.677430e-2
exp/tau=30,339,-7.846363e-2,6.615975e-2
exp/tau=30,351,-4.831971e-2,6.202146e-2
exp/tau=30,363,-5.931514e-2,6.087009e-2
exp/tau=30,376,-2.305781e-2,6.303466e-2
exp/tau=30,389,-1.055307e-2,6.394106e-2
exp/tau=30,403,4.419912e-2,6.512977e-2
exp/tau=30,417,1.012369e-2,6.476322e-2
exp/tau=30,432,3.260699e-2,6.358281e-2
exp/tau=30,447,-3.024813e-2,6.474098e-2
exp/tau=30,463,1.389411e-1,6.603146e-2
exp/tau=30,479,7.103253e-2,6.508713e-2
exp/tau=30,496,3.421901e-2,6.585384e-2
exp/tau=30,513,2.271496e-2,6.123205e-2
exp/tau=30,531,-2.440407e-2,6.218349e-2
exp/tau=30,550,-6.397716e-2,5.847605e-2
exp/tau=30,569,8.470671e-2,6.043202e-2
exp/tau=30,589,7.836025e-2,6.330942e-2
exp/tau=30,610,1.074100e-1,5.936040e-2
exp/tau=30,631,-1.102099e-1,6.313647e-2
exp/tau=30,653,-1.055628e-1,6.725905e-2
exp/tau=30,676,-1.595512e-1,6.404866e-2
exp/tau=30,700,-3.959871e-2,6.082640e-2
exp/tau=30,724,1.996255e-2,6.131233e-2
exp/tau=30,750,4.940602e-2,6.426599e-2
exp/tau=30,776,-8.643406e-2,6.564731e-2
exp/tau=30,803,1.405217e-1,6.645081e-2
exp/tau=30,831,8.130264e-2,6.167070e-2
exp/tau=30,861,7.017559e-2,6.000089e-2
exp/tau=30,891,4.573405e-3,6.450321e-2
exp/tau=30,922,3.488584e-2,6.314872e-2
exp/tau=30,954,7.371539e-2,6.138856e-2
exp/tau=30,988,-2.863950e-2,6.751029e-2
exp/tau=30,1023,2.803518e-2,5.864366e-2
exp/tau=30,1058,3.847195e-2,5.815912e-2
exp/tau=30,1096,-5.329636e-2,6.322936e-2
exp/tau=30,1134,-6.745266e-3,5.714908e-2
exp/tau=30,1174,-2.697341e-3,6.578449e-2
exp/tau=30,1215,-4.968529e-2,6.319385e-2
exp/tau=30,1258,-1.092405e-2,6.122100e-2
exp/tau=30,1302,-2.302415e-2,6.279713e-2
exp/tau=30,1347,3.488569e-2,6.954651e-2
exp/tau=30,1395,-6.637219e-3,6.744955e-2
exp/tau=30,1444,1.816554e-2,6.237050e-2
exp/tau=30,1494,-1.950256e-2,6.242157e-2
exp/tau=30,1547,-4.822934e-2,6.491169e-2
exp/tau=30,1601,1.567312e-1,6.644897e-2
exp/tau=30,1657,7.241028e-2,6.008926e-2
exp/tau=30,1715,8.577802e-2,5.832886e-2
exp/tau=30,1775,5.683353e-3,6.182085e-2
exp/tau=30,1838,7.734214e-2,6.507308e-2
exp/tau=30,1902,9.253780e-3,6.097384e-2
exp/tau=30,1969,1.166825e-1,6.461957e-2
exp/tau=30,2038,1.791786e-1,6.119496e-2
exp/tau=30,2109,-2.510656e-2,6.108428e-2
exp/tau=30,2183,-8.005102e-2,6.177546e-2
exp/tau=30,2260,-1.742322e-1,6.463528e-2
exp/tau=30,2339,1.016290e-2,6.076674e-2
exp/tau=30,2421,1.406399e-1,6.599766e-2
exp/tau=30,2506,-9.943426e-3,6.073439e-2
exp/tau=30,2594,-3.158442e-2,5.933377e-2
exp/tau=30,2685,1.091800e-1,6.508045e-2
exp/tau=30,2779,-4.102233e-2,6.109135e-2
exp/tau=30,2877,3.222354e-2,6.695930e-2
exp/tau=30,2978,3.706132e-2,6.275111e-2
exp/tau=30,3082,-1.933099e-2,6.341336e-2
exp/tau=30,3190,5.717914e-2,5.804292e-2
exp/tau=30,3302,3.440135e-2,5.931064e-2
exp/tau=30,3418,-1.081698e-1,6.505145e-2
exp/tau=30,3538,-1.237546e-1,6.528004e-2
exp/tau=30,3662,6.969533e-2,6.156514e-2
exp/tau=30,3791,-5.849723e-2,6.374645e-2
exp/tau=30,3924,-4.090452e-2,5.549842e-2
exp/tau=30,4061,-9.360274e-2,6.395062e-2
exp/tau=30,4204,-6.088890e-2,6.523800e-2
exp/tau=30,4351,-1.058589e-1,6.605940e-2
exp/tau=30,4504,4.092626e-2,6.666103e-2
exp/tau=30,4662,1.177450e-2,6.540292e-2
exp/tau=30,4825,-4.571741e-4,6.074184e-2
exp/tau=30,4994,4.986155e-2,6.404872e-2
exp/tau=30,5170,6.439176e-2,6.251229e-2
exp/tau=30,5351,-8.885628e-3,6.313070e-2
exp/tau=30,5539,-2.213368e-2,6.824222e-2
exp/tau=30,5733,7.619160e-2,6.221034e-2
exp/tau=30,5934,-2.802910e-2,6.642502e-2
exp/tau=30,6142,-3.902695e-2,6.082124e-2
exp/tau=30,6358,3.240932e-2,6.684308e-2
exp/tau=30,6581,-2.671012e-2,6.464015e-2
exp/tau=30,6812,3.215387e-2,6.432718e-2
exp/tau=30,7051,9.496153e-2,5.840689e-2
exp/tau=30,7298,-5.018084e-2,6.296081e-2
exp/tau=30,7554,-1.314518e-1,6.291673e-2
exp/tau=30,7819,4.099246e-2,6.659699e-2
exp/tau=30,8093,5.815513e-2,6.706263e-2
