scheme,age,snr_mean,snr_stderr
exp/tau=300,24091,1.277132e-1,6.165768e-2
exp/tau=300,30000,4.074797e-2,6.033766e-2
exp/tau=1000,1,5.800944e0,3.044470e-2
exp/tau=1000,2,5.750258e0,3.083319e-2
exp/tau=1000,3,5.678504e0,3.167831e-2
exp/tau=1000,4,5.581357e0,3.100202e-2
exp/tau=1000,5,5.518597e0,3.264063e-2
exp/tau=1000,6,5.441555e0,3.295711e-2
exp/tau=1000,7,5.354557e0,3.244391e-2
exp/tau=1000,9,5.248544e0,3.357901e-2
exp/tau=1000,11,5.119380e0,3.531720e-2
exp/tau=1000,14,4.908238e0,3.922894e-2
exp/tau=1000,17,4.711787e0,4.391815e-2
exp/tau=1000,22,4.446326e0,4.647893e-2
exp/tau=1000,27,4.133741e0,4.851305e-2
exp/tau=1000,33,3.871957e0,4.851232e-2
exp/tau=1000,42,3.406068e0,5.279111e-2
exp/tau=1000,52,2.937132e0,5.143198e-2
exp/tau=1000,65,2.477673e0,5.542988e-2
exp/tau=1000,80,2.025702e0,5.956118e-2
exp/tau=1000,100,1.544185e0,6.107572e-2
exp/tau=1000,125,1.026110e0,6.328153e-2
exp/tau=1000,155,5.534863e-1,6.317972e-2
exp/tau=1000,193,2.217873e-1,6.379575e-2
exp/tau=1000,241,1.651791e-1,5.931626e-2
exp/tau=1000,300,6.603716e-2,6.394584e-2
exp/tau=1000,373,-2.540456e-2,6.507811e-2
exp/tau=1000,465,1.176885e-1,6.686451e-2
exp/tau=1000,579,1.482078e-1,6.145814e-2
exp/tau=1000,721,-2.418224e-2,6.059840e-2
exp/tau=1000,897,8.086606e-2,6.622856e-2
exp/tau=1000,1118,7.208714e-4,6.023531e-2
exp/tau=1000,1392,-1.325995e-2,6.269466e-2
exp/tau=1000,1733,-1.029925e-2,6.500885e-2
exp/tau=1000,2158,2.724375e-2,6.317926e-2
exp/tau=1000,2687,9.608555e-2,6.271229e-2
exp/tau=1000,3346,-1.504081e-1,6.099109e-2
exp/tau=1000,4167,-1.002855e-1,6.040382e-2
exp/tau=1000,5189,5.612737e-2,5.833114e-2
exp/tau=1000,6461,-2.893277e-4,6.603103e-2
exp/tau=1000,8046,-4.765672e-2,6.449696e-2
exp/tau=1000,10019,5.606104e-2,5.930647e-2
exp/tau=1000,12476,1.216525e-4,6.503568e-2
exp/tau=1000,15536,1.480284e-2,6.253293e-2
exp/tau=1000,19347,-8.820586e-3,6.374316e-2
exp/tau=1000,24091,1.245355e-1,6.155081e-2
exp/tau=1000,30000,5.061486e-2,5.989857e-2
exp/tau=3000,1,5.692944e0,3.018765e-2
exp/tau=3000,2,5.644053e0,3.057080e-2
exp/tau=3000,3,5.574706e0,3.141773e-2
exp/tau=3000,4,5.480335e0,3.080348e-2
exp/tau=3000,5,5.419476e0,3.244971e-2
exp/tau=3000,6,5.344612e0,3.274740e-2
exp/tau=3000,7,5.259994e0,3.230745e-2
exp/tau=3000,9,5.157636e0,3.347746e-2
exp/tau=3000,11,5.033129e0,3.519800e-2
exp/tau=3000,14,4.828483e0,3.905224e-2
exp/tau=3000,17,4.638549e0,4.374818e-2
exp/tau=3000,22,4.382726e0,4.625513e-2
