arm_short,arm_name,eta,ewc_lambda,round,domain,pre_revisit_acc,pre_revisit_loss,acc_few5,acc_few10,acc_few20,acc_few50,acc_few200,post_train_acc,post_train_loss,retention_gap
plain_m1,"Plain (m=1)",2.0000,0.0000,4,0,0.1000,5.2029,0.1000,0.1000,0.1000,0.1000,0.1000,0.0900,5.5465,-0.0100
plain_m1,"Plain (m=1)",2.0000,0.0000,4,1,0.0900,4.9225,0.0900,0.0900,0.0900,0.0900,0.0900,0.0900,4.7096,0.0000
plain_m1,"Plain (m=1)",2.0000,0.0000,4,2,0.0900,4.9803,0.0900,0.0900,0.0900,0.0900,0.0900,0.1300,5.1642,0.0400
plain_m1,"Plain (m=1)",2.0000,0.0000,4,3,0.1200,5.4252,0.1200,0.1200,0.1200,0.1200,0.1200,0.1100,5.6303,-0.0100
plain_m1,"Plain (m=1)",2.0000,0.0000,5,0,0.1200,5.5702,0.1200,0.1200,0.1200,0.1500,0.1600,0.0700,5.9441,-0.0500
plain_m1,"Plain (m=1)",2.0000,0.0000,5,1,0.0800,4.9279,0.0800,0.0800,0.0800,0.1200,0.1900,0.0800,4.8123,0.0000
plain_m1,"Plain (m=1)",2.0000,0.0000,5,2,0.0900,5.2023,0.0900,0.0900,0.0800,0.1100,0.1500,0.1100,5.3257,0.0200
plain_m1,"Plain (m=1)",2.0000,0.0000,5,3,0.1300,5.6663,0.1300,0.1200,0.1100,0.1100,0.1400,0.0800,5.9506,-0.0500
linear,"Linear (no SDR)",2.0000,0.0000,1,0,0.1400,6.2383,0.1400,0.1400,0.1400,0.1400,0.1400,0.0900,4.5525,-0.0500
linear,"Linear (no SDR)",2.0000,0.0000,1,1,0.0800,6.7133,0.0800,0.0800,0.0800,0.0800,0.0800,0.1700,4.6039,0.0900
linear,"Linear (no SDR)",2.0000,0.0000,1,2,0.1200,7.3259,0.1200,0.1200,0.1200,0.1200,0.1200,0.1100,4.6228,-0.0100
linear,"Linear (no SDR)",2.0000,0.0000,1,3,0.1500,9.1116,0.1500,0.1500,0.1500,0.1500,0.1500,0.1300,4.9841,-0.0200
linear,"Linear (no SDR)",2.0000,0.0000,2,0,0.0700,5.5541,0.0700,0.0700,0.0700,0.0700,0.0700,0.1300,4.3915,0.0600
linear,"Linear (no SDR)",2.0000,0.0000,2,1,0.1100,4.8567,0.1100,0.1100,0.1100,0.1100,0.1100,0.2100,4.6623,0.1000
linear,"Linear (no SDR)",2.0000,0.0000,2,2,0.0700,5.4333,0.0700,0.0700,0.0700,0.0700,0.0700,0.1300,4.4457,0.0600
linear,"Linear (no SDR)",2.0000,0.0000,2,3,0.1700,5.8388,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,5.1886,0.0000
linear,"Linear (no SDR)",2.0000,0.0000,3,0,0.0700,5.5625,0.0700,0.0700,0.0700,0.0700,0.0700,0.1400,4.2944,0.0700
linear,"Linear (no SDR)",2.0000,0.0000,3,1,0.1100,4.9695,0.1100,0.1100,0.1100,0.1100,0.1100,0.1900,4.7325,0.0800
linear,"Linear (no SDR)",2.0000,0.0000,3,2,0.0700,5.5971,0.0700,0.0700,0.0700,0.0700,0.0700,0.1500,4.3502,0.0800
linear,"Linear (no SDR)",2.0000,0.0000,3,3,0.1600,6.0697,0.1600,0.1600,0.1600,0.1600,0.1600,0.2100,5.3286,0.0500
linear,"Linear (no SDR)",2.0000,0.0000,4,0,0.1200,5.3567,0.1200,0.1200,0.1200,0.1200,0.1200,0.1900,4.2257,0.0700
linear,"Linear (no SDR)",2.0000,0.0000,4,1,0.1000,5.2012,0.1000,0.1000,0.1000,0.1000,0.1000,0.1700,4.8109,0.0700
linear,"Linear (no SDR)",2.0000,0.0000,4,2,0.0700,5.7183,0.0700,0.0700,0.0700,0.0700,0.0700,0.1600,4.3023,0.0900
linear,"Linear (no SDR)",2.0000,0.0000,4,3,0.1800,6.0640,0.1800,0.1800,0.1800,0.1800,0.1800,0.2100,5.4678,0.0300
linear,"Linear (no SDR)",2.0000,0.0000,5,0,0.1300,5.2049,0.1400,0.1300,0.1500,0.1700,0.3300,0.2200,4.1805,0.0900
linear,"Linear (no SDR)",2.0000,0.0000,5,1,0.1000,5.4808,0.1000,0.1000,0.1000,0.1300,0.1900,0.1700,4.8991,0.0700
linear,"Linear (no SDR)",2.0000,0.0000,5,2,0.0700,5.7970,0.0800,0.0800,0.1000,0.1200,0.1800,0.1900,4.2826,0.1200
linear,"Linear (no SDR)",2.0000,0.0000,5,3,0.1900,5.9649,0.2000,0.1800,0.1800,0.1700,0.2400,0.2200,5.6093,0.0300
linear_fast,"Linear-fast (rung 0)",2.0000,0.0000,1,0,0.1400,6.2383,0.1400,0.1400,0.1400,0.1400,0.1400,0.1800,4.1060,0.0400
linear_fast,"Linear-fast (rung 0)",2.0000,0.0000,1,1,0.1700,6.1838,0.1700,0.1700,0.1700,0.1700,0.1700,0.1900,4.4043,0.0200
linear_fast,"Linear-fast (rung 0)",2.0000,0.0000,1,2,0.1900,5.4423,0.1900,0.1900,0.1900,0.1900,0.1900,0.2200,3.9385,0.0300
linear_fast,"Linear-fast (rung 0)",2.0000,0.0000,1,3,0.2300,5.6691,0.2300,0.2300,0.2300,0.2300,0.2300,0.2300,5.1454,0.0000
linear_fast,"Linear-fast (rung 0)",2.0000,0.0000,2,0,0.1400,5.6156,0.1400,0.1400,0.1400,0.1400,0.1400,0.2500,4.0156,0.1100
linear_fast,"Linear-fast (rung 0)",2.0000,0.0000,2,1,0.2100,5.1415,0.2100,0.2100,0.2100,0.2100,0.2100,0.1900,4.5594,-0.0200
linear_fast,"Linear-fast (rung 0)",2.0000,0.0000,2,2,0.2200,4.2627,0.2200,0.2200,0.2200,0.2200,0.2200,0.2300,3.9203,0.0100
linear_fast,"Linear-fast (rung 0)",2.0000,0.0000,2,3,0.2200,5.2413,0.2200,0.2200,0.2200,0.2200,0.2200,0.2300,5.5609,0.0100
linear_fast,"Linear-fast (rung 0)",2.0000,0.0000,3,0,0.2000,5.5077,0.2000,0.2000,0.2000,0.2000,0.2000,0.2900,4.0194,0.0900
linear_fast,"Linear-fast (rung 0)",2.0000,0.0000,3,1,0.2300,5.2597,0.2300,0.2300,0.2300,0.2300,0.2300,0.1900,4.7777,-0.0400
linear_fast,"Linear-fast (rung 0)",2.0000,0.0000,3,2,0.3100,4.1050,0.3100,0.3100,0.3100,0.3100,0.3100,0.2500,3.9663,-0.0600
linear_fast,"Linear-fast (rung 0)",2.0000,0.0000,3,3,0.2400,5.6052,0.2400,0.2400,0.2400,0.2400,0.2400,0.2300,5.8540,-0.0100
linear_fast,"Linear-fast (rung 0)",2.0000,0.0000,4,0,0.2200,5.5246,0.2200,0.2200,0.2200,0.2200,0.2200,0.2900,4.0469,0.0700
linear_fast,"Linear-fast (rung 0)",2.0000,0.0000,4,1,0.2400,5.3830,0.2400,0.2400,0.2400,0.2400,0.2400,0.1900,4.9717,-0.0500
linear_fast,"Linear-fast (rung 0)",2.0000,0.0000,4,2,0.3200,4.0551,0.3200,0.3200,0.3200,0.3200,0.3200,0.2500,4.0296,-0.0700
linear_fast,"Linear-fast (rung 0)",2.0000,0.0000,4,3,0.2500,5.8976,0.2500,0.2500,0.2500,0.2500,0.2500,0.2200,6.1100,-0.0300
linear_fast,"Linear-fast (rung 0)",2.0000,0.0000,5,0,0.2300,5.5533,0.2300,0.2400,0.2400,0.2900,0.3600,0.2900,4.0956,0.0600
linear_fast,"Linear-fast (rung 0)",2.0000,0.0000,5,1,0.2400,5.5085,0.2500,0.2600,0.2600,0.2700,0.3600,0.1900,5.1361,-0.0500
linear_fast,"Linear-fast (rung 0)",2.0000,0.0000,5,2,0.3100,4.0494,0.3300,0.3200,0.3200,0.3400,0.3500,0.2500,4.1071,-0.0600
linear_fast,"Linear-fast (rung 0)",2.0000,0.0000,5,3,0.2400,6.1619,0.2400,0.2300,0.2400,0.2700,0.3300,0.2400,6.3506,0.0000
proximal_ewc,"Proximal EWC (lam=0.0)",2.0000,0.0000,1,0,0.1400,6.2383,0.1400,0.1400,0.1400,0.1400,0.1400,0.0800,4.5476,-0.0600
proximal_ewc,"Proximal EWC (lam=0.0)",2.0000,0.0000,1,1,0.0500,6.0098,0.0500,0.0500,0.0500,0.0500,0.0500,0.1000,4.6083,0.0500
proximal_ewc,"Proximal EWC (lam=0.0)",2.0000,0.0000,1,2,0.0400,5.9616,0.0400,0.0400,0.0400,0.0400,0.0400,0.1300,4.8106,0.0900
proximal_ewc,"Proximal EWC (lam=0.0)",2.0000,0.0000,1,3,0.0200,5.9503,0.0200,0.0200,0.0200,0.0200,0.0200,0.1500,4.4547,0.1300
proximal_ewc,"Proximal EWC (lam=0.0)",2.0000,0.0000,2,0,0.0600,4.9426,0.0600,0.0600,0.0600,0.0600,0.0600,0.0900,5.0662,0.0300
proximal_ewc,"Proximal EWC (lam=0.0)",2.0000,0.0000,2,1,0.0700,4.7195,0.0700,0.0700,0.0700,0.0700,0.0700,0.1200,4.8396,0.0500
proximal_ewc,"Proximal EWC (lam=0.0)",2.0000,0.0000,2,2,0.0700,5.3920,0.0700,0.0700,0.0700,0.0700,0.0700,0.1300,4.6780,0.0600
proximal_ewc,"Proximal EWC (lam=0.0)",2.0000,0.0000,2,3,0.1100,4.6154,0.1100,0.1100,0.1100,0.1100,0.1100,0.0800,4.9385,-0.0300
proximal_ewc,"Proximal EWC (lam=0.0)",2.0000,0.0000,3,0,0.1000,4.9368,0.1000,0.1000,0.1000,0.1000,0.1000,0.0800,5.3397,-0.0200
proximal_ewc,"Proximal EWC (lam=0.0)",2.0000,0.0000,3,1,0.1100,4.6844,0.1100,0.1100,0.1100,0.1100,0.1100,0.0900,4.8129,-0.0200
proximal_ewc,"Proximal EWC (lam=0.0)",2.0000,0.0000,3,2,0.0700,4.9548,0.0700,0.0700,0.0700,0.0700,0.0700,0.1100,4.8348,0.0400
proximal_ewc,"Proximal EWC (lam=0.0)",2.0000,0.0000,3,3,0.0900,5.1171,0.0900,0.0900,0.0900,0.0900,0.0900,0.1100,5.3259,0.0200
proximal_ewc,"Proximal EWC (lam=0.0)",2.0000,0.0000,4,0,0.1000,5.2029,0.1000,0.1000,0.1000,0.1000,0.1000,0.0900,5.5465,-0.0100
proximal_ewc,"Proximal EWC (lam=0.0)",2.0000,0.0000,4,1,0.0900,4.9225,0.0900,0.0900,0.0900,0.0900,0.0900,0.0900,4.7096,0.0000
proximal_ewc,"Proximal EWC (lam=0.0)",2.0000,0.0000,4,2,0.0900,4.9803,0.0900,0.0900,0.0900,0.0900,0.0900,0.1300,5.1642,0.0400
proximal_ewc,"Proximal EWC (lam=0.0)",2.0000,0.0000,4,3,0.1200,5.4252,0.1200,0.1200,0.1200,0.1200,0.1200,0.1100,5.6303,-0.0100
proximal_ewc,"Proximal EWC (lam=0.0)",2.0000,0.0000,5,0,0.1200,5.5702,0.1200,0.1200,0.1200,0.1500,0.1600,0.0700,5.9441,-0.0500
proximal_ewc,"Proximal EWC (lam=0.0)",2.0000,0.0000,5,1,0.0800,4.9279,0.0800,0.0800,0.0800,0.1200,0.1900,0.0800,4.8123,0.0000
proximal_ewc,"Proximal EWC (lam=0.0)",2.0000,0.0000,5,2,0.0900,5.2023,0.0900,0.0900,0.0800,0.1100,0.1500,0.1100,5.3257,0.0200
proximal_ewc,"Proximal EWC (lam=0.0)",2.0000,0.0000,5,3,0.1300,5.6663,0.1300,0.1200,0.1100,0.1100,0.1400,0.0800,5.9506,-0.0500
